[?][main][DEBUG   ] asyncio: Using selector: EpollSelector
[Edge Latest][gw0][INFO    ] pages.login_page: Starting eBay login for user: 'sivangob@gmail.com'
[Edge Latest][gw0][INFO    ] pages.base_page: Navigating to: https://signin.ebay.com/signin/
[Edge Latest][gw0][INFO    ] pages.base_page: [Username / email field] Trying primary selector: '#userid'
[Edge Latest][gw0][INFO    ] pages.base_page: Locator succeeded: '#userid'
[Edge Latest][gw0][INFO    ] pages.base_page: [Username / email field] Resolved with primary selector: '#userid'
[Edge Latest][gw0][INFO    ] pages.base_page: [Username / email field] Filled with: 'sivangob@gmail.com'
[Edge Latest][gw0][INFO    ] pages.login_page: Username entered.
[Edge Latest][gw0][INFO    ] pages.login_page: Continue button clicked via '#signin-continue-btn'.
[Edge Latest][gw0][WARNING ] pages.login_page: networkidle timed out after Continue click — proceeding.
[Edge Latest][gw0][INFO    ] pages.login_page: Continue transition complete — waiting for password field.
[Edge Latest][gw0][ERROR   ] pages.base_page: Screenshot saved: screenshots/continue_transition_timeout_20260316_172718.png
[Edge Latest][gw0][INFO    ] pages.login_page: Starting eBay login for user: 'sivangob@gmail.com'
[Edge Latest][gw0][INFO    ] pages.base_page: Navigating to: https://signin.ebay.com/signin/
[Edge Latest][gw0][ERROR   ] pages.base_page: Screenshot saved: screenshots/human_validation_detected_20260316_172719.png
[Edge Latest][gw0][INFO    ] pages.login_page: Starting eBay login for user: 'sivangob@gmail.com'
[Edge Latest][gw0][INFO    ] pages.base_page: Navigating to: https://signin.ebay.com/signin/
[Edge Latest][gw0][ERROR   ] pages.base_page: Screenshot saved: screenshots/human_validation_detected_20260316_172720.png
